date,home_team,score,away_team
25-05-2025,Southampton,1 - 2,Arsenal
18-05-2025,Arsenal,1 - 0,Newcastle
11-05-2025,Liverpool,2 - 2,Arsenal
03-05-2025,Arsenal,1 - 2,Bournemouth
23-04-2025,Arsenal,2 - 2,Crystal Palace
20-04-2025,Ipswich,0 - 4,Arsenal
12-04-2025,Arsenal,1 - 1,Brentford
05-04-2025,Everton,1 - 1,Arsenal
01-04-2025,Arsenal,2 - 1,Fulham
16-03-2025,Arsenal,1 - 0,Chelsea
09-03-2025,Man United,1 - 1,Arsenal
26-02-2025,Nott'm Forest,0 - 0,Arsenal
22-02-2025,Arsenal,0 - 1,West Ham
15-02-2025,Leicester,0 - 2,Arsenal
02-02-2025,Arsenal,5 - 1,Man City
25-01-2025,Wolves,0 - 1,Arsenal
18-01-2025,Arsenal,2 - 2,Aston Villa
15-01-2025,Arsenal,2 - 1,Tottenham
04-01-2025,Brighton,1 - 1,Arsenal
01-01-2025,Brentford,1 - 3,Arsenal
27-12-2024,Arsenal,1 - 0,Ipswich
21-12-2024,Crystal Palace,1 - 5,Arsenal
14-12-2024,Arsenal,0 - 0,Everton
08-12-2024,Fulham,1 - 1,Arsenal
04-12-2024,Arsenal,2 - 0,Man United
30-11-2024,West Ham,2 - 5,Arsenal
23-11-2024,Arsenal,3 - 0,Nott'm Forest
10-11-2024,Chelsea,1 - 1,Arsenal
02-11-2024,Newcastle,1 - 0,Arsenal
27-10-2024,Arsenal,2 - 2,Liverpool
19-10-2024,Bournemouth,2 - 0,Arsenal
05-10-2024,Arsenal,3 - 1,Southampton
28-09-2024,Arsenal,4 - 2,Leicester
22-09-2024,Man City,2 - 2,Arsenal
15-09-2024,Tottenham,0 - 1,Arsenal
31-08-2024,Arsenal,1 - 1,Brighton
24-08-2024,Aston Villa,0 - 2,Arsenal
17-08-2024,Arsenal,2 - 0,Wolves
25-05-2025,Man United,2 - 0,Aston Villa
16-05-2025,Aston Villa,2 - 0,Tottenham
10-05-2025,Bournemouth,0 - 1,Aston Villa
03-05-2025,Aston Villa,1 - 0,Fulham
22-04-2025,Man City,2 - 1,Aston Villa
19-04-2025,Aston Villa,4 - 1,Newcastle
12-04-2025,Southampton,0 - 3,Aston Villa
05-04-2025,Aston Villa,2 - 1,Nott'm Forest
02-04-2025,Brighton,0 - 3,Aston Villa
08-03-2025,Brentford,0 - 1,Aston Villa
25-02-2025,Crystal Palace,4 - 1,Aston Villa
22-02-2025,Aston Villa,2 - 1,Chelsea
19-02-2025,Aston Villa,2 - 2,Liverpool
15-02-2025,Aston Villa,1 - 1,Ipswich
01-02-2025,Wolves,2 - 0,Aston Villa
26-01-2025,Aston Villa,1 - 1,West Ham
